,encoding,opt_name,reason,proved
699,partial,AndOrXor:2265,poison,yes
700,partial,AndOrXor:2265,undef,yes
701,partial,AndOrXor:2265,values,no
702,partial,AndOrXor:2284,poison,yes
703,partial,AndOrXor:2284,undef,yes
704,partial,AndOrXor:2284,values,no
705,partial,AndOrXor:2285,poison,yes
706,partial,AndOrXor:2285,undef,yes
707,partial,AndOrXor:2285,values,no
708,partial,AndOrXor:2297,poison,yes
709,partial,AndOrXor:2297,undef,yes
710,partial,AndOrXor:2297,values,no
711,partial,AndOrXor:230,poison,yes
712,partial,AndOrXor:230,undef,yes
713,partial,AndOrXor:230,values,no
714,partial,AndOrXor:2367,poison,yes
715,partial,AndOrXor:2367,undef,yes
716,partial,AndOrXor:2367,values,no
717,partial,AndOrXor:2416,poison,yes
718,partial,AndOrXor:2416,undef,yes
719,partial,AndOrXor:2416,values,no
720,partial,AndOrXor:2417,poison,yes
721,partial,AndOrXor:2417,undef,yes
722,partial,AndOrXor:2417,values,no
723,partial,AndOrXor:2429,poison,yes
724,partial,AndOrXor:2429,undef,yes
725,partial,AndOrXor:2429,values,no
726,partial,AndOrXor:2430,poison,yes
727,partial,AndOrXor:2430,undef,yes
728,partial,AndOrXor:2430,values,no
729,partial,AndOrXor:2443,poison,yes
730,partial,AndOrXor:2443,undef,yes
731,partial,AndOrXor:2443,values,no
732,partial,AndOrXor:2453,poison,yes
733,partial,AndOrXor:2453,undef,yes
734,partial,AndOrXor:2453,values,yes
735,partial,AndOrXor:2475,poison,yes
